country,Indicator,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Philippines,Markup,,,,,,,,,2.0953894,1.8648314,1.7579862,1.3633124,1.2490908,1.3304139,1.2237834,1.4126571,1.6003813,1.3887023,1.4352881,1.3539267,1.4288778,1.4637673,1.5628331,1.5081969,1.7303145,1.7341771,1.5896242,1.7929562,1.7668073,1.6089374,1.4996895,1.4249597,1.3336391,1.3709962,1.3495283,1.4604653,1.4975445
Portugal,Markup,,,,,,1.2410101,1.3052419,1.2888891,1.2390779,1.1979116,1.1447128,1.0142072,0.97448146,0.95873225,1.5584195,1.465397,1.508831,1.4268062,1.3929743,1.2944254,1.1291709,1.0789015,1.0738302,1.0761579,1.1024399,1.1823024,1.1958592,1.1639951,1.1205025,1.1500393,1.123878,1.0773512,1.053835,1.2416555,1.0789802,1.0904803,1.1865612
Singapore,Markup,1.4992583,1.2065017,1.0613681,1.1819496,1.2766209,0.98165733,1.0498717,1.0223125,1.0714468,1.1133307,1.1449695,1.1625986,1.1664255,1.2073617,1.1743923,1.1686361,1.155267,1.1223869,1.0722775,1.1208192,1.3169074,1.4011934,1.4878517,1.3528413,1.3425134,1.2310454,1.2408996,1.215598,1.1947917,1.2061405,1.3267372,1.3304926,1.2596825,1.2637302,1.2781634,1.3174906,1.3154168
South Africa,Markup,,,1.2821947,1.0701857,1.1421816,0.99715793,1.0773832,1.1236126,1.0811698,1.0826,1.0699247,1.0417191,1.0082041,1.0048413,1.0013059,1.0151522,1.0000842,1.0240684,1.0143826,1.0200744,1.1121479,1.1999007,1.2286962,1.3475367,1.4098859,1.431818,1.516663,1.3440846,1.3980768,1.2986751,1.3682032,1.4176106,1.3202333,1.338089,1.4437921,1.3262649,1.3440737
South Korea,Markup,0.76384872,0.7573964,0.76970088,0.81004995,0.84928107,1.0547804,1.0394995,0.95785731,1.0047609,1.1045653,1.0680749,1.0322556,1.0557258,1.0389792,1.0605445,1.1330166,1.0985197,1.1215129,1.0970038,1.1233865,1.2069371,1.1506844,1.3877345,1.214944,1.3462121,1.2181042,1.282806,1.2472649,1.1806008,1.1337543,1.1543548,1.0795398,1.0846671,1.1166416,1.3773532,1.4598217,1.4849899
Spain,Markup,1.0177273,0.98994964,0.98284084,1.0219635,0.99258685,0.98835838,1.0583394,1.2393525,1.2436612,1.1804003,1.3609037,1.3483706,1.288113,1.2834644,1.3139451,1.3259495,1.3183748,1.3193401,1.3904579,1.2697986,1.2336272,1.2269572,1.2076018,1.2201076,1.2223809,1.3966043,1.3508911,1.3823445,1.2840545,1.2974952,1.1966529,1.1493021,1.2340957,1.2942785,1.2813883,1.27008,1.3435318
Sweden,Markup,0.80839622,0.81770313,0.85437721,0.87973398,0.88624769,0.88445866,0.91214854,0.98864114,1.0435414,1.0590318,1.0754682,1.1007445,1.1408226,1.1907336,1.2650962,1.1166058,1.1020368,1.2465712,1.5218873,1.2897166,1.2657208,1.1943398,1.3024402,1.3039222,1.3078247,1.2559745,1.2697579,1.2604597,1.2429277,1.2400465,1.3137976,1.2671412,1.2666652,1.2862754,1.2921674,1.2821308,1.3113451
Switzerland,Markup,1.0865742,1.1031561,1.1077671,1.120167,1.1351604,1.1238176,1.0859357,1.3613436,1.3037453,1.3552696,1.3640345,1.4696217,1.5456866,1.7255114,1.7216593,1.6858221,1.6926601,1.7340937,1.7910404,1.8538501,1.863786,1.9788039,2.0616534,2.0534251,2.1066194,2.0614231,2.1200113,2.0142195,1.8519465,1.926668,1.8959702,1.8236865,1.8297158,1.9532019,1.981251,2.9549739,2.7177191
Taiwan,Markup,,,,,,,,,1.3538367,1.4312268,1.3492131,1.2591172,1.2763069,1.2364136,1.2734804,1.2804999,1.2065153,1.1884454,1.1939886,1.3080217,1.4224931,1.2767391,1.2467493,1.2198108,1.220404,1.1558456,1.1545833,1.122615,1.0838013,1.1002603,1.1025231,1.0738153,1.092783,1.1836261,1.2068175,1.2268893,1.2385912
Thailand,Markup,,,,,,,,1.2670417,1.1376408,1.4213942,1.3370752,1.2973689,1.3427033,1.309498,1.4039406,1.5189705,1.5943394,1.6353896,1.4867419,1.504968,1.3450313,1.2369514,1.4256219,1.333811,1.31838,1.488703,1.4777826,1.3802969,1.3612306,1.3574362,1.3312461,1.2260581,1.2709738,1.2923909,1.2983799,1.4429667,1.4372584
Turkey,Markup,,,,,,,,1.4135804,1.1899083,1.0780358,1.0052685,1.0286069,1.0605447,1.1208007,1.2042592,1.1620852,1.1675605,1.6673374,1.9283653,1.3777723,1.3191581,1.1572274,1.1769822,1.1349593,1.093701,1.1315076,1.1162044,1.1325976,1.1222395,1.1643639,1.1484116,1.1239669,1.107971,1.1019213,1.1132267,1.1478016,1.1587298
United Kingdom,Markup,0.93872172,0.97307795,1.0452485,1.0540344,1.0557209,1.0666038,1.1021539,1.1416975,1.1851263,1.282617,1.2698766,1.272265,1.2769798,1.3160034,1.2576914,1.260744,1.368103,1.3697851,1.4094151,1.5098529,1.4580375,1.4037963,1.4197347,1.4117668,1.3882704,1.4441712,1.4835535,1.464678,1.3891033,1.4188453,1.489343,1.3817273,1.4123243,1.4809334,1.568561,1.6182904,1.6789792
United States,Markup,1.1469901,1.1445336,1.1699265,1.1836865,1.1883125,1.191517,1.2703958,1.3266546,1.3752699,1.3790448,1.3896254,1.4551529,1.4520741,1.439079,1.4273093,1.4504095,1.4541141,1.5554029,1.6085079,1.625387,1.6539735,1.5326678,1.6249319,1.6264081,1.5808649,1.5623529,1.5511969,1.5599501,1.5248241,1.5629454,1.5762436,1.5435183,1.5528064,1.6458538,1.6941921,1.7447314,1.7788502
Venezuela,Markup,,,,,,,,1.8395914,1.2734836,1.9490951,1.3157154,1.3240983,1.2409904,1.283748,1.3739314,1.357656,1.5845047,1.547461,1.3605697,1.4271003,2.1630204,2.101547,2.0050948,2.1383142,2.5164788,1.8974166,1.579601,1.1760348,1.2876314,1.2088087,1.3334836,1.4618917,1.27637,1.2563038,1.2504349,1.1963481,1.4656998
