Country,Year,Markup
CHANNEL_ISLANDS,2013,0.31244117
CHILE,1985,3.3095832
CHILE,1986,2.5306098
CHILE,1987,1.5994232
CHILE,1988,1.6804307
CHILE,1989,1.5383106
CHILE,1990,1.4624221
CHILE,1991,1.4860845
CHILE,1992,1.6179842
CHILE,1993,1.6825947
CHILE,1994,1.7148751
CHILE,1995,1.6472743
CHILE,1996,1.5931619
CHILE,1997,1.5628554
CHILE,1998,1.6353393
CHILE,1999,1.48848
CHILE,2000,1.4909827
CHILE,2001,1.7009659
CHILE,2002,1.505789
CHILE,2003,1.4595395
CHILE,2004,1.4063728
CHILE,2005,1.4089677
CHILE,2006,1.423908
CHILE,2007,1.3775364
CHILE,2008,1.3355086
CHILE,2009,1.4300524
CHILE,2010,1.4117974
CHILE,2011,1.3167349
CHILE,2012,1.3026798
CHILE,2013,1.4155916
CHILE,2014,1.3476199
CHILE,2015,1.347391
CHILE,2016,1.3748393
CHINA,1982,1.8271302
CHINA,1983,1.5156256
CHINA,1984,1.569126
CHINA,1985,1.5958139
CHINA,1986,1.2470372
CHINA,1987,1.1642303
CHINA,1988,1.1517876
CHINA,1989,1.0673677
CHINA,1990,1.0451223
CHINA,1991,1.0789784
CHINA,1992,1.1978111
CHINA,1993,1.2089802
CHINA,1994,1.1777191
CHINA,1995,1.2174839
CHINA,1996,1.2114458
CHINA,1997,1.3002682
CHINA,1998,1.2188767
CHINA,1999,1.364381
CHINA,2000,1.465449
CHINA,2001,1.5013299
CHINA,2002,1.5270605
CHINA,2003,1.4337395
CHINA,2004,1.4512882
CHINA,2005,1.3776361
CHINA,2006,1.3222501
CHINA,2007,1.2730604
CHINA,2008,1.2006507
CHINA,2009,1.2363635
CHINA,2010,1.2204291
CHINA,2011,1.1870441
CHINA,2012,1.1682403
CHINA,2013,1.2290872
CHINA,2014,1.2745156
CHINA,2015,1.3820102
CHINA,2016,1.405113
COLOMBIA,1987,1.2361541
COLOMBIA,1988,1.1884134
COLOMBIA,1989,1.1964012
COLOMBIA,1990,1.2008532
COLOMBIA,1991,1.2326851
COLOMBIA,1992,1.228595
COLOMBIA,1993,1.139048
COLOMBIA,1994,1.2183659
COLOMBIA,1995,1.4415935
COLOMBIA,1996,1.4698833
COLOMBIA,1997,1.3770311
COLOMBIA,1998,2.5681438
COLOMBIA,1999,1.2512809
COLOMBIA,2000,1.4249686
COLOMBIA,2001,1.4089286
COLOMBIA,2002,1.8645036
COLOMBIA,2003,1.4717656
COLOMBIA,2004,1.9412508
COLOMBIA,2005,1.5622724
COLOMBIA,2006,1.5733331
COLOMBIA,2007,1.7616334
COLOMBIA,2008,1.7013251
COLOMBIA,2009,1.512048
COLOMBIA,2010,1.6004851
COLOMBIA,2011,1.5513523
COLOMBIA,2012,1.4738624
COLOMBIA,2013,1.5675665
COLOMBIA,2014,1.5329556
COLOMBIA,2015,1.6087931
COLOMBIA,2016,1.5625318
COOK_ISLANDS,2007,3.6594281
COOK_ISLANDS,2008,4.7412062
COSTA_RICA,2005,1.9789071
COSTA_RICA,2006,1.8158044
COSTA_RICA,2007,1.6413343
COSTA_RICA,2008,1.6561369
COSTA_RICA,2009,1.7872404
COSTA_RICA,2010,1.901897
COSTA_RICA,2011,1.5452738
COSTA_RICA,2012,1.6144607
COSTA_RICA,2013,1.6599755
COSTA_RICA,2014,1.6494581
COSTA_RICA,2015,1.7373463
COSTA_RICA,2016,1.817132
COTE_D'IVOIRE,2005,1.2476528
COTE_D'IVOIRE,2006,1.2463949
COTE_D'IVOIRE,2007,1.1778979
COTE_D'IVOIRE,2008,1.1654403
COTE_D'IVOIRE,2009,1.1929994
COTE_D'IVOIRE,2010,1.1996697
COTE_D'IVOIRE,2011,1.1920156
COTE_D'IVOIRE,2012,1.2301545
COTE_D'IVOIRE,2013,1.1154175
COTE_D'IVOIRE,2014,0.9527486
COTE_D'IVOIRE,2015,0.94100553
COTE_D'IVOIRE,2016,1.1612569
CROATIA,2002,1.1659383
CROATIA,2003,1.2534369
CROATIA,2004,1.2217549
CROATIA,2005,1.2148722
CROATIA,2006,1.1457103
CROATIA,2007,1.2393246
CROATIA,2008,1.1801158
CROATIA,2009,1.1868095
CROATIA,2010,1.2822746
CROATIA,2011,1.2349275
CROATIA,2012,1.2374433
CROATIA,2013,1.5030395
CROATIA,2014,1.6101949
CROATIA,2015,2.0557985
CROATIA,2016,2.0343509
CURACAO,1999,3.4008334
CURACAO,2000,3.4487281
CURACAO,2001,3.4959683
CURACAO,2002,3.2345092
CURACAO,2003,3.3509626
CURACAO,2004,3.097841
CURACAO,2005,3.1461611
CURACAO,2006,3.2127647
CURACAO,2007,3.1974893
CURACAO,2008,2.9584658
CURACAO,2009,3.5142365
CURACAO,2010,3.816206
CURACAO,2011,3.6333647
CURACAO,2012,4.7599864
CURACAO,2013,3.3811803
CURACAO,2014,3.4520783
CURACAO,2015,3.8685226
CURACAO,2016,3.9079187
CYPRUS,1996,0.84760141
CYPRUS,1997,1.0310636
CYPRUS,1998,1.0710393
CYPRUS,1999,1.3056695
CYPRUS,2000,1.7021055
CYPRUS,2001,2.0173857
CYPRUS,2002,2.1204264
CYPRUS,2003,2.0846603
CYPRUS,2004,2.2514501
CYPRUS,2005,1.3481615
CYPRUS,2006,1.618597
CYPRUS,2007,1.5308125
CYPRUS,2008,1.3383482
CYPRUS,2009,1.3218592
CYPRUS,2010,1.3758775
CYPRUS,2011,1.2672802
CYPRUS,2012,1.1625046
CYPRUS,2013,1.2716413
CYPRUS,2014,1.446909
CYPRUS,2015,1.56832
CYPRUS,2016,1.29228
CZECH_REPUBLIC,1995,1.5361785
CZECH_REPUBLIC,1996,1.3372015
CZECH_REPUBLIC,1997,1.1406535
CZECH_REPUBLIC,1998,1.1398877
CZECH_REPUBLIC,1999,1.127966
CZECH_REPUBLIC,2000,1.2537566
CZECH_REPUBLIC,2001,1.2912829
CZECH_REPUBLIC,2002,1.2918391
CZECH_REPUBLIC,2003,1.2660233
CZECH_REPUBLIC,2004,1.2603327
CZECH_REPUBLIC,2005,1.7279178
CZECH_REPUBLIC,2006,2.1480305
CZECH_REPUBLIC,2007,2.6242127
CZECH_REPUBLIC,2008,2.7476354
CZECH_REPUBLIC,2009,2.1153991
CZECH_REPUBLIC,2010,1.6692051
CZECH_REPUBLIC,2011,1.5274158
CZECH_REPUBLIC,2012,1.3838999
CZECH_REPUBLIC,2013,1.462199
CZECH_REPUBLIC,2014,1.3739182
CZECH_REPUBLIC,2015,1.3074883
CZECH_REPUBLIC,2016,1.3009211
DENMARK,1980,0.89240128
DENMARK,1981,0.8931101
DENMARK,1982,0.99768609
DENMARK,1983,1.0037999
DENMARK,1984,1.0220958
DENMARK,1985,1.0342383
DENMARK,1986,1.06025
DENMARK,1987,1.1085362
DENMARK,1988,1.1772349
DENMARK,1989,1.1674565
DENMARK,1990,1.1780329
DENMARK,1991,1.1854521
DENMARK,1992,1.2342386
DENMARK,1993,1.2498165
DENMARK,1994,1.4064729
DENMARK,1995,1.4023731
DENMARK,1996,1.4124291
DENMARK,1997,1.4583944
DENMARK,1998,1.5895432
DENMARK,1999,1.417544
DENMARK,2000,1.5275592
DENMARK,2001,1.4417782
DENMARK,2002,1.4281785
DENMARK,2003,1.4411738
DENMARK,2004,1.5050452
DENMARK,2005,1.4970572
DENMARK,2006,1.563152
DENMARK,2007,1.5637079
DENMARK,2008,1.5969886
DENMARK,2009,1.6259352
DENMARK,2010,1.7274618
DENMARK,2011,1.7030764
DENMARK,2012,1.9623517
DENMARK,2013,1.9785073
DENMARK,2014,2.4001603
DENMARK,2015,2.6034737
DENMARK,2016,2.8446093
ECUADOR,2005,3.332612
ECUADOR,2006,0.99970931
ECUADOR,2007,1.3206726
ECUADOR,2008,1.4079477
ECUADOR,2009,1.3874074
ECUADOR,2010,1.4044341
ECUADOR,2011,1.2984581
ECUADOR,2012,2.1893797
ECUADOR,2013,2.1019661
ECUADOR,2014,2.3114696
ECUADOR,2015,2.4612787
EGYPT,1997,2.4438083
EGYPT,1998,1.7758601
EGYPT,1999,1.6434931
EGYPT,2000,2.1044972
EGYPT,2001,2.1951358
EGYPT,2002,1.8706192
EGYPT,2003,2.1926336
EGYPT,2004,2.1107702
EGYPT,2005,1.674004
EGYPT,2006,1.6802741
EGYPT,2007,1.6154039
EGYPT,2008,1.4182054
EGYPT,2009,1.4380938
EGYPT,2010,1.3733988
EGYPT,2011,1.3433236
EGYPT,2012,1.2781823
EGYPT,2013,1.2759887
EGYPT,2014,1.2964323
EGYPT,2015,1.3212291
EGYPT,2016,1.3016393
ESTONIA,2002,1.2355652
ESTONIA,2003,1.3588033
ESTONIA,2004,1.3487358
ESTONIA,2005,1.3518008
ESTONIA,2006,1.3354826
ESTONIA,2007,1.3035394
ESTONIA,2008,1.252652
ESTONIA,2009,1.1367642
ESTONIA,2010,1.1710327
ESTONIA,2011,1.1727712
ESTONIA,2012,1.2663389
ESTONIA,2013,1.1901706
ESTONIA,2014,1.2116958
ESTONIA,2015,1.3065832
ESTONIA,2016,1.2756943
FAROE_ISLANDS,2003,0.66134065
FAROE_ISLANDS,2005,0.99187893
FAROE_ISLANDS,2006,0.89000022
FAROE_ISLANDS,2007,0.92062473
FAROE_ISLANDS,2008,2.4174831
FAROE_ISLANDS,2009,1.3525435
FAROE_ISLANDS,2010,1.9062036
FAROE_ISLANDS,2011,1.7684041
FAROE_ISLANDS,2012,1.7524791
FAROE_ISLANDS,2013,1.9078079
FAROE_ISLANDS,2014,2.587326
FAROE_ISLANDS,2015,3.0453193
FAROE_ISLANDS,2016,3.292064
FIJI,2005,1.2899519
FIJI,2006,2.0367718
FIJI,2007,1.2571858
FIJI,2008,1.8407786
FIJI,2009,1.3711712
FIJI,2010,1.318262
FIJI,2011,1.5085714
FIJI,2012,1.4094582
FIJI,2013,1.4123141
FIJI,2014,1.6952761
FIJI,2015,1.6214668
FIJI,2016,1.6171438
FINLAND,1980,0.91250134
FINLAND,1981,0.91657323
FINLAND,1982,0.91788429
FINLAND,1983,0.94662851
FINLAND,1984,0.94759458
FINLAND,1985,0.93910557
FINLAND,1986,1.0150213
FINLAND,1987,1.2077792
FINLAND,1988,1.4702473
FINLAND,1989,1.4361849
FINLAND,1990,1.2570877
FINLAND,1991,1.1242872
FINLAND,1992,1.128067
FINLAND,1993,1.1478763
FINLAND,1994,1.158718
FINLAND,1995,1.1646672
FINLAND,1996,1.1124675
FINLAND,1997,1.1545397
FINLAND,1998,1.1940677
FINLAND,1999,1.2176759
FINLAND,2000,1.2450229
FINLAND,2001,1.2348723
FINLAND,2002,1.2116919
FINLAND,2003,1.1912769
FINLAND,2004,1.1686041
FINLAND,2005,1.1790038
FINLAND,2006,1.1739535
FINLAND,2007,1.1842419
FINLAND,2008,1.182866
FINLAND,2009,1.1587416
FINLAND,2010,1.221604
FINLAND,2011,1.1856918
FINLAND,2012,1.187687
FINLAND,2013,1.2577271
FINLAND,2014,1.3074648
FINLAND,2015,1.3119603
FINLAND,2016,1.3564035
FRANCE,1980,0.96840924
FRANCE,1981,0.94931781
FRANCE,1982,0.93955958
FRANCE,1983,0.9493252
FRANCE,1984,0.95434749
FRANCE,1985,0.93745047
FRANCE,1986,0.94163483
FRANCE,1987,1.0778494
FRANCE,1988,1.0849224
FRANCE,1989,1.1308441
FRANCE,1990,1.15794
FRANCE,1991,1.143961
FRANCE,1992,1.1453419
FRANCE,1993,1.1516142
FRANCE,1994,1.1698155
FRANCE,1995,1.1652647
FRANCE,1996,1.2074202
FRANCE,1997,1.1837857
FRANCE,1998,1.2079598
FRANCE,1999,1.2101303
FRANCE,2000,1.2460771
FRANCE,2001,1.2597798
FRANCE,2002,1.2818173
FRANCE,2003,1.3201799
FRANCE,2004,1.2867818
FRANCE,2005,1.3506153
FRANCE,2006,1.3444868
FRANCE,2007,1.3549283
FRANCE,2008,1.3704472
